"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2300","[4/20] Validate redirect: /opportunities","Desktop Chromium","Fri May 22 10:05:04 GMT 2026","passed","Fri May 22 10:05:06 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1735","smoke: homepage loads with correct title for Virufy","Desktop Chromium","Fri May 22 10:04:57 GMT 2026","passed","Fri May 22 10:04:59 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","1851","[8/20] Validate redirect: /donate","Desktop Chromium","Fri May 22 10:05:12 GMT 2026","passed","Fri May 22 10:05:14 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","4313","[15/20] Validate redirect: /virumap-msg","Desktop Chromium","Fri May 22 10:05:25 GMT 2026","passed","Fri May 22 10:05:29 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1933","[9/20] Validate redirect: /dubai-jp","Desktop Chromium","Fri May 22 10:05:14 GMT 2026","passed","Fri May 22 10:05:16 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1978","[6/20] Validate redirect: /join","Desktop Chromium","Fri May 22 10:05:08 GMT 2026","passed","Fri May 22 10:05:10 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1218","smoke: footer section is present","Desktop Chromium","Fri May 22 10:06:38 GMT 2026","passed","Fri May 22 10:06:39 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","1858","[7/20] Validate redirect: /halfmydaf","Desktop Chromium","Fri May 22 10:05:10 GMT 2026","passed","Fri May 22 10:05:12 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","31487","smoke: basic navigation works","Desktop Chromium","Fri May 22 10:06:06 GMT 2026","broken","Fri May 22 10:06:38 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","2083","[2/20] Validate redirect: /team","Desktop Chromium","Fri May 22 10:05:00 GMT 2026","passed","Fri May 22 10:05:02 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1869","[11/20] Validate redirect: /paper","Desktop Chromium","Fri May 22 10:05:18 GMT 2026","passed","Fri May 22 10:05:19 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","4126","[16/20] Validate redirect: /virumap-msg-jp","Desktop Chromium","Fri May 22 10:05:29 GMT 2026","passed","Fri May 22 10:05:34 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2837","[19/20] Validate redirect: /join-jp","Desktop Chromium","Fri May 22 10:05:43 GMT 2026","passed","Fri May 22 10:05:46 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1894","[14/20] Validate redirect: /uae-adghw-apr-2025","Desktop Chromium","Fri May 22 10:05:23 GMT 2026","passed","Fri May 22 10:05:25 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1868","[10/20] Validate redirect: /news/uae-adghw-apr-2025","Desktop Chromium","Fri May 22 10:05:16 GMT 2026","passed","Fri May 22 10:05:18 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","4615","[17/20] Validate redirect: /virumap-slides","Desktop Chromium","Fri May 22 10:05:34 GMT 2026","passed","Fri May 22 10:05:38 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2300","[20/20] Validate redirect: /apply","Desktop Chromium","Fri May 22 10:05:46 GMT 2026","passed","Fri May 22 10:05:48 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1589","smoke: main content sections are visible","Desktop Chromium","Fri May 22 10:04:59 GMT 2026","passed","Fri May 22 10:05:01 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","1879","[13/20] Validate redirect: /privacy_policy","Desktop Chromium","Fri May 22 10:05:21 GMT 2026","passed","Fri May 22 10:05:23 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","4864","[18/20] Validate redirect: /virumap-slides-jp","Desktop Chromium","Fri May 22 10:05:38 GMT 2026","passed","Fri May 22 10:05:43 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2419","[1/20] Validate redirect: /null","Desktop Chromium","Fri May 22 10:04:57 GMT 2026","passed","Fri May 22 10:05:00 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1835","[5/20] Validate redirect: /fukuoka","Desktop Chromium","Fri May 22 10:05:06 GMT 2026","passed","Fri May 22 10:05:08 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1843","[12/20] Validate redirect: /press","Desktop Chromium","Fri May 22 10:05:19 GMT 2026","passed","Fri May 22 10:05:21 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1904","[3/20] Validate redirect: /team/","Desktop Chromium","Fri May 22 10:05:02 GMT 2026","passed","Fri May 22 10:05:04 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
