"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14404","smoke: basic navigation works","Desktop Chromium","Tue Jun 02 10:32:16 GMT 2026","passed","Tue Jun 02 10:32:30 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","1635","smoke: main content sections are visible","Desktop Chromium","Tue Jun 02 10:32:14 GMT 2026","passed","Tue Jun 02 10:32:16 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","2072","[9/20] Validate redirect: /dubai-jp","Desktop Chromium","Tue Jun 02 10:32:30 GMT 2026","passed","Tue Jun 02 10:32:32 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","4803","[18/20] Validate redirect: /virumap-slides-jp","Desktop Chromium","Tue Jun 02 10:32:53 GMT 2026","passed","Tue Jun 02 10:32:58 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2324","[8/20] Validate redirect: /donate","Desktop Chromium","Tue Jun 02 10:32:27 GMT 2026","passed","Tue Jun 02 10:32:30 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1454","smoke: footer section is present","Desktop Chromium","Tue Jun 02 10:32:30 GMT 2026","passed","Tue Jun 02 10:32:32 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","1996","[13/20] Validate redirect: /privacy_policy","Desktop Chromium","Tue Jun 02 10:32:38 GMT 2026","passed","Tue Jun 02 10:32:40 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1911","[11/20] Validate redirect: /paper","Desktop Chromium","Tue Jun 02 10:32:34 GMT 2026","passed","Tue Jun 02 10:32:36 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1950","[10/20] Validate redirect: /news/uae-adghw-apr-2025","Desktop Chromium","Tue Jun 02 10:32:32 GMT 2026","passed","Tue Jun 02 10:32:34 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","3603","[15/20] Validate redirect: /virumap-msg","Desktop Chromium","Tue Jun 02 10:32:42 GMT 2026","passed","Tue Jun 02 10:32:45 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2361","[5/20] Validate redirect: /fukuoka","Desktop Chromium","Tue Jun 02 10:32:21 GMT 2026","passed","Tue Jun 02 10:32:23 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2065","[2/20] Validate redirect: /team","Desktop Chromium","Tue Jun 02 10:32:15 GMT 2026","passed","Tue Jun 02 10:32:17 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2222","[6/20] Validate redirect: /join","Desktop Chromium","Tue Jun 02 10:32:23 GMT 2026","passed","Tue Jun 02 10:32:25 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
