"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2544","[10/20] Validate redirect: /news/uae-adghw-apr-2025","Desktop Chromium","Fri Jul 17 09:34:15 GMT 2026","passed","Fri Jul 17 09:34:18 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2248","[5/20] Validate redirect: /fukuoka","Desktop Chromium","Fri Jul 17 09:34:03 GMT 2026","passed","Fri Jul 17 09:34:06 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2722","should display correct second card body text","Desktop Chromium","Fri Jul 17 09:34:27 GMT 2026","passed","Fri Jul 17 09:34:30 GMT 2026","What We Do Page Validation","what-we-do/whatWeDo.spec.js","",""
"","13702","should have working main navigation links","Desktop Chromium","Fri Jul 17 09:33:59 GMT 2026","passed","Fri Jul 17 09:34:13 GMT 2026","Homepage Validation","homepage/homepage.spec.js","",""
"","4687","[17/20] Validate redirect: /virumap-slides","Desktop Chromium","Fri Jul 17 09:34:34 GMT 2026","passed","Fri Jul 17 09:34:39 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2607","should load with correct page title","Desktop Chromium","Fri Jul 17 09:34:14 GMT 2026","passed","Fri Jul 17 09:34:17 GMT 2026","What We Do Page Validation","what-we-do/whatWeDo.spec.js","",""
"","2270","[7/20] Validate redirect: /halfmydaf","Desktop Chromium","Fri Jul 17 09:34:08 GMT 2026","passed","Fri Jul 17 09:34:10 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","3890","[15/20] Validate redirect: /virumap-msg","Desktop Chromium","Fri Jul 17 09:34:27 GMT 2026","passed","Fri Jul 17 09:34:31 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2322","[6/20] Validate redirect: /join","Desktop Chromium","Fri Jul 17 09:34:06 GMT 2026","passed","Fri Jul 17 09:34:08 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2321","[8/20] Validate redirect: /donate","Desktop Chromium","Fri Jul 17 09:34:10 GMT 2026","passed","Fri Jul 17 09:34:13 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2636","should display correct intro body text","Desktop Chromium","Fri Jul 17 09:34:19 GMT 2026","passed","Fri Jul 17 09:34:22 GMT 2026","What We Do Page Validation","what-we-do/whatWeDo.spec.js","",""
"","2336","[2/20] Validate redirect: /team","Desktop Chromium","Fri Jul 17 09:33:57 GMT 2026","passed","Fri Jul 17 09:33:59 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
