"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3294","[16/20] Validate redirect: /virumap-msg-jp","Desktop Chromium","Sat Mar 07 09:07:05 GMT 2026","passed","Sat Mar 07 09:07:08 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2037","[9/20] Validate redirect: /dubai-jp","Desktop Chromium","Sat Mar 07 09:06:49 GMT 2026","passed","Sat Mar 07 09:06:51 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2122","[2/20] Validate redirect: /team","Desktop Chromium","Sat Mar 07 09:06:35 GMT 2026","passed","Sat Mar 07 09:06:37 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2084","[14/20] Validate redirect: /uae-adghw-apr-2025","Desktop Chromium","Sat Mar 07 09:07:00 GMT 2026","passed","Sat Mar 07 09:07:02 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1950","[3/20] Validate redirect: /team/","Desktop Chromium","Sat Mar 07 09:06:37 GMT 2026","passed","Sat Mar 07 09:06:39 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","4535","[18/20] Validate redirect: /virumap-slides-jp","Desktop Chromium","Sat Mar 07 09:07:12 GMT 2026","passed","Sat Mar 07 09:07:17 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2053","[10/20] Validate redirect: /news/uae-adghw-apr-2025","Desktop Chromium","Sat Mar 07 09:06:51 GMT 2026","passed","Sat Mar 07 09:06:54 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1586","smoke: homepage loads with correct title for Virufy","Desktop Chromium","Sat Mar 07 09:06:32 GMT 2026","passed","Sat Mar 07 09:06:34 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","2929","[19/20] Validate redirect: /join-jp","Desktop Chromium","Sat Mar 07 09:07:17 GMT 2026","passed","Sat Mar 07 09:07:20 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2061","[8/20] Validate redirect: /donate","Desktop Chromium","Sat Mar 07 09:06:47 GMT 2026","passed","Sat Mar 07 09:06:49 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
