"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2388","[20/20] Validate redirect: /apply","Desktop Chromium","Sun Apr 05 09:14:32 GMT 2026","passed","Sun Apr 05 09:14:34 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","3063","[15/20] Validate redirect: /virumap-msg","Desktop Chromium","Sun Apr 05 09:14:14 GMT 2026","passed","Sun Apr 05 09:14:17 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2089","[2/20] Validate redirect: /team","Desktop Chromium","Sun Apr 05 09:13:48 GMT 2026","passed","Sun Apr 05 09:13:50 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2099","[1/20] Validate redirect: /null","Desktop Chromium","Sun Apr 05 09:13:45 GMT 2026","passed","Sun Apr 05 09:13:47 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1449","smoke: homepage loads with correct title for Virufy","Desktop Chromium","Sun Apr 05 09:13:45 GMT 2026","passed","Sun Apr 05 09:13:47 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","1875","[13/20] Validate redirect: /privacy_policy","Desktop Chromium","Sun Apr 05 09:14:10 GMT 2026","passed","Sun Apr 05 09:14:12 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","8421","smoke: basic navigation works","Desktop Chromium","Sun Apr 05 09:13:48 GMT 2026","passed","Sun Apr 05 09:13:57 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","1882","[8/20] Validate redirect: /donate","Desktop Chromium","Sun Apr 05 09:14:00 GMT 2026","passed","Sun Apr 05 09:14:02 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1900","[14/20] Validate redirect: /uae-adghw-apr-2025","Desktop Chromium","Sun Apr 05 09:14:12 GMT 2026","passed","Sun Apr 05 09:14:14 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1936","[9/20] Validate redirect: /dubai-jp","Desktop Chromium","Sun Apr 05 09:14:02 GMT 2026","passed","Sun Apr 05 09:14:04 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1948","[7/20] Validate redirect: /halfmydaf","Desktop Chromium","Sun Apr 05 09:13:58 GMT 2026","passed","Sun Apr 05 09:14:00 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2014","[6/20] Validate redirect: /join","Desktop Chromium","Sun Apr 05 09:13:56 GMT 2026","passed","Sun Apr 05 09:13:58 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1256","smoke: footer section is present","Desktop Chromium","Sun Apr 05 09:13:57 GMT 2026","passed","Sun Apr 05 09:13:58 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","2276","[4/20] Validate redirect: /opportunities","Desktop Chromium","Sun Apr 05 09:13:52 GMT 2026","passed","Sun Apr 05 09:13:54 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","3318","[16/20] Validate redirect: /virumap-msg-jp","Desktop Chromium","Sun Apr 05 09:14:17 GMT 2026","passed","Sun Apr 05 09:14:20 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2562","[19/20] Validate redirect: /join-jp","Desktop Chromium","Sun Apr 05 09:14:29 GMT 2026","passed","Sun Apr 05 09:14:32 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1865","[11/20] Validate redirect: /paper","Desktop Chromium","Sun Apr 05 09:14:06 GMT 2026","passed","Sun Apr 05 09:14:08 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1370","smoke: main content sections are visible","Desktop Chromium","Sun Apr 05 09:13:47 GMT 2026","passed","Sun Apr 05 09:13:48 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","2308","[3/20] Validate redirect: /team/","Desktop Chromium","Sun Apr 05 09:13:50 GMT 2026","passed","Sun Apr 05 09:13:52 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1938","[5/20] Validate redirect: /fukuoka","Desktop Chromium","Sun Apr 05 09:13:54 GMT 2026","passed","Sun Apr 05 09:13:56 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1878","[12/20] Validate redirect: /press","Desktop Chromium","Sun Apr 05 09:14:08 GMT 2026","passed","Sun Apr 05 09:14:10 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","4226","[17/20] Validate redirect: /virumap-slides","Desktop Chromium","Sun Apr 05 09:14:20 GMT 2026","passed","Sun Apr 05 09:14:24 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","4698","[18/20] Validate redirect: /virumap-slides-jp","Desktop Chromium","Sun Apr 05 09:14:24 GMT 2026","passed","Sun Apr 05 09:14:29 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1936","[10/20] Validate redirect: /news/uae-adghw-apr-2025","Desktop Chromium","Sun Apr 05 09:14:04 GMT 2026","passed","Sun Apr 05 09:14:06 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
