"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3338","[15/20] Validate redirect: /virumap-msg","Desktop Chromium","Tue Jan 13 09:07:28 GMT 2026","passed","Tue Jan 13 09:07:31 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2027","[11/20] Validate redirect: /paper","Desktop Chromium","Tue Jan 13 09:07:19 GMT 2026","passed","Tue Jan 13 09:07:21 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2996","[19/20] Validate redirect: /join-jp","Desktop Chromium","Tue Jan 13 09:07:45 GMT 2026","passed","Tue Jan 13 09:07:48 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2076","[12/20] Validate redirect: /press","Desktop Chromium","Tue Jan 13 09:07:22 GMT 2026","passed","Tue Jan 13 09:07:24 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2096","[13/20] Validate redirect: /privacy_policy","Desktop Chromium","Tue Jan 13 09:07:24 GMT 2026","passed","Tue Jan 13 09:07:26 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","8863","smoke: basic navigation works","Desktop Chromium","Tue Jan 13 09:07:00 GMT 2026","passed","Tue Jan 13 09:07:09 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","2129","[9/20] Validate redirect: /dubai-jp","Desktop Chromium","Tue Jan 13 09:07:15 GMT 2026","passed","Tue Jan 13 09:07:17 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1991","[14/20] Validate redirect: /uae-adghw-apr-2025","Desktop Chromium","Tue Jan 13 09:07:26 GMT 2026","passed","Tue Jan 13 09:07:28 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","3748","[16/20] Validate redirect: /virumap-msg-jp","Desktop Chromium","Tue Jan 13 09:07:31 GMT 2026","passed","Tue Jan 13 09:07:35 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2241","[2/20] Validate redirect: /team","Desktop Chromium","Tue Jan 13 09:06:59 GMT 2026","passed","Tue Jan 13 09:07:01 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2284","[4/20] Validate redirect: /opportunities","Desktop Chromium","Tue Jan 13 09:07:03 GMT 2026","passed","Tue Jan 13 09:07:06 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2906","[8/20] Validate redirect: /donate","Desktop Chromium","Tue Jan 13 09:07:12 GMT 2026","passed","Tue Jan 13 09:07:15 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1482","smoke: main content sections are visible","Desktop Chromium","Tue Jan 13 09:06:58 GMT 2026","passed","Tue Jan 13 09:07:00 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","1309","smoke: footer section is present","Desktop Chromium","Tue Jan 13 09:07:09 GMT 2026","passed","Tue Jan 13 09:07:10 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
