"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1317","smoke: footer section is present","Desktop Chromium","Wed May 27 10:25:34 GMT 2026","passed","Wed May 27 10:25:35 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","1889","[8/20] Validate redirect: /donate","Desktop Chromium","Wed May 27 10:24:08 GMT 2026","passed","Wed May 27 10:24:10 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2691","[20/20] Validate redirect: /apply","Desktop Chromium","Wed May 27 10:24:42 GMT 2026","passed","Wed May 27 10:24:44 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1901","[12/20] Validate redirect: /press","Desktop Chromium","Wed May 27 10:24:16 GMT 2026","passed","Wed May 27 10:24:18 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","3152","[15/20] Validate redirect: /virumap-msg","Desktop Chromium","Wed May 27 10:24:22 GMT 2026","passed","Wed May 27 10:24:25 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1937","[7/20] Validate redirect: /halfmydaf","Desktop Chromium","Wed May 27 10:24:06 GMT 2026","passed","Wed May 27 10:24:08 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1881","[11/20] Validate redirect: /paper","Desktop Chromium","Wed May 27 10:24:14 GMT 2026","passed","Wed May 27 10:24:16 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2417","[1/20] Validate redirect: /null","Desktop Chromium","Wed May 27 10:23:54 GMT 2026","passed","Wed May 27 10:23:56 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","31455","smoke: basic navigation works","Desktop Chromium","Wed May 27 10:25:02 GMT 2026","broken","Wed May 27 10:25:33 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","1794","smoke: homepage loads with correct title for Virufy","Desktop Chromium","Wed May 27 10:23:54 GMT 2026","passed","Wed May 27 10:23:55 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","5034","[17/20] Validate redirect: /virumap-slides","Desktop Chromium","Wed May 27 10:24:29 GMT 2026","passed","Wed May 27 10:24:34 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1911","[10/20] Validate redirect: /news/uae-adghw-apr-2025","Desktop Chromium","Wed May 27 10:24:12 GMT 2026","passed","Wed May 27 10:24:14 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1900","[13/20] Validate redirect: /privacy_policy","Desktop Chromium","Wed May 27 10:24:18 GMT 2026","passed","Wed May 27 10:24:20 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1560","smoke: main content sections are visible","Desktop Chromium","Wed May 27 10:23:56 GMT 2026","passed","Wed May 27 10:23:57 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","4318","[16/20] Validate redirect: /virumap-msg-jp","Desktop Chromium","Wed May 27 10:24:25 GMT 2026","passed","Wed May 27 10:24:29 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2013","[4/20] Validate redirect: /opportunities","Desktop Chromium","Wed May 27 10:24:00 GMT 2026","passed","Wed May 27 10:24:02 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","4817","[18/20] Validate redirect: /virumap-slides-jp","Desktop Chromium","Wed May 27 10:24:34 GMT 2026","passed","Wed May 27 10:24:39 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2589","[19/20] Validate redirect: /join-jp","Desktop Chromium","Wed May 27 10:24:39 GMT 2026","passed","Wed May 27 10:24:42 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2038","[3/20] Validate redirect: /team/","Desktop Chromium","Wed May 27 10:23:58 GMT 2026","passed","Wed May 27 10:24:00 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2072","[2/20] Validate redirect: /team","Desktop Chromium","Wed May 27 10:23:56 GMT 2026","passed","Wed May 27 10:23:58 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1960","[6/20] Validate redirect: /join","Desktop Chromium","Wed May 27 10:24:04 GMT 2026","passed","Wed May 27 10:24:06 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1891","[5/20] Validate redirect: /fukuoka","Desktop Chromium","Wed May 27 10:24:02 GMT 2026","passed","Wed May 27 10:24:04 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2001","[9/20] Validate redirect: /dubai-jp","Desktop Chromium","Wed May 27 10:24:10 GMT 2026","passed","Wed May 27 10:24:12 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1889","[14/20] Validate redirect: /uae-adghw-apr-2025","Desktop Chromium","Wed May 27 10:24:20 GMT 2026","passed","Wed May 27 10:24:22 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
