"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4737","[17/20] Validate redirect: /virumap-slides","Desktop Chromium","Fri Aug 07 09:21:13 GMT 2026","passed","Fri Aug 07 09:21:18 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1908","[13/20] Validate redirect: /privacy_policy","Desktop Chromium","Fri Aug 07 09:21:02 GMT 2026","passed","Fri Aug 07 09:21:04 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1895","[12/20] Validate redirect: /press","Desktop Chromium","Fri Aug 07 09:21:00 GMT 2026","passed","Fri Aug 07 09:21:02 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","3633","[15/20] Validate redirect: /virumap-msg","Desktop Chromium","Fri Aug 07 09:21:06 GMT 2026","passed","Fri Aug 07 09:21:09 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1954","[8/20] Validate redirect: /donate","Desktop Chromium","Fri Aug 07 09:20:52 GMT 2026","passed","Fri Aug 07 09:20:54 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2084","[5/20] Validate redirect: /fukuoka","Desktop Chromium","Fri Aug 07 09:20:45 GMT 2026","passed","Fri Aug 07 09:20:47 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2141","[1/20] Validate redirect: /null","Desktop Chromium","Fri Aug 07 09:20:36 GMT 2026","passed","Fri Aug 07 09:20:39 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2503","should display correct AI section heading","Desktop Chromium","Fri Aug 07 09:21:04 GMT 2026","passed","Fri Aug 07 09:21:07 GMT 2026","What We Do Page Validation","what-we-do/whatWeDo.spec.js","",""
"","2782","should display correct first card body text","Desktop Chromium","Fri Aug 07 09:21:07 GMT 2026","passed","Fri Aug 07 09:21:10 GMT 2026","What We Do Page Validation","what-we-do/whatWeDo.spec.js","",""
"","1927","should display main content sections","Desktop Chromium","Fri Aug 07 09:20:39 GMT 2026","passed","Fri Aug 07 09:20:41 GMT 2026","Homepage Validation","homepage/homepage.spec.js","",""
"","1586","should have working footer section and links","Desktop Chromium","Fri Aug 07 09:20:55 GMT 2026","passed","Fri Aug 07 09:20:57 GMT 2026","Homepage Validation","homepage/homepage.spec.js","",""
"","2506","should load with correct page title","Desktop Chromium","Fri Aug 07 09:20:57 GMT 2026","passed","Fri Aug 07 09:20:59 GMT 2026","What We Do Page Validation","what-we-do/whatWeDo.spec.js","",""
"","2080","[2/20] Validate redirect: /team","Desktop Chromium","Fri Aug 07 09:20:39 GMT 2026","passed","Fri Aug 07 09:20:41 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2632","[19/20] Validate redirect: /join-jp","Desktop Chromium","Fri Aug 07 09:21:23 GMT 2026","passed","Fri Aug 07 09:21:26 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2834","should display correct second card body text","Desktop Chromium","Fri Aug 07 09:21:10 GMT 2026","passed","Fri Aug 07 09:21:13 GMT 2026","What We Do Page Validation","what-we-do/whatWeDo.spec.js","",""
"","2098","[9/20] Validate redirect: /dubai-jp","Desktop Chromium","Fri Aug 07 09:20:54 GMT 2026","passed","Fri Aug 07 09:20:56 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2390","[20/20] Validate redirect: /apply","Desktop Chromium","Fri Aug 07 09:21:26 GMT 2026","passed","Fri Aug 07 09:21:28 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2237","[4/20] Validate redirect: /opportunities","Desktop Chromium","Fri Aug 07 09:20:43 GMT 2026","passed","Fri Aug 07 09:20:45 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1974","[10/20] Validate redirect: /news/uae-adghw-apr-2025","Desktop Chromium","Fri Aug 07 09:20:56 GMT 2026","passed","Fri Aug 07 09:20:58 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1909","[7/20] Validate redirect: /halfmydaf","Desktop Chromium","Fri Aug 07 09:20:50 GMT 2026","passed","Fri Aug 07 09:20:52 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2101","[11/20] Validate redirect: /paper","Desktop Chromium","Fri Aug 07 09:20:58 GMT 2026","passed","Fri Aug 07 09:21:00 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1914","[14/20] Validate redirect: /uae-adghw-apr-2025","Desktop Chromium","Fri Aug 07 09:21:04 GMT 2026","passed","Fri Aug 07 09:21:06 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2364","should load homepage with correct title","Desktop Chromium","Fri Aug 07 09:20:36 GMT 2026","passed","Fri Aug 07 09:20:39 GMT 2026","Homepage Validation","homepage/homepage.spec.js","",""
"","2295","[6/20] Validate redirect: /join","Desktop Chromium","Fri Aug 07 09:20:47 GMT 2026","passed","Fri Aug 07 09:20:50 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2123","[3/20] Validate redirect: /team/","Desktop Chromium","Fri Aug 07 09:20:41 GMT 2026","passed","Fri Aug 07 09:20:43 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","14171","should have working main navigation links","Desktop Chromium","Fri Aug 07 09:20:41 GMT 2026","passed","Fri Aug 07 09:20:55 GMT 2026","Homepage Validation","homepage/homepage.spec.js","",""
"","2509","should display correct intro body text","Desktop Chromium","Fri Aug 07 09:21:02 GMT 2026","passed","Fri Aug 07 09:21:04 GMT 2026","What We Do Page Validation","what-we-do/whatWeDo.spec.js","",""
"","5269","[18/20] Validate redirect: /virumap-slides-jp","Desktop Chromium","Fri Aug 07 09:21:18 GMT 2026","passed","Fri Aug 07 09:21:23 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","3757","[16/20] Validate redirect: /virumap-msg-jp","Desktop Chromium","Fri Aug 07 09:21:09 GMT 2026","passed","Fri Aug 07 09:21:13 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2631","should display correct main heading","Desktop Chromium","Fri Aug 07 09:20:59 GMT 2026","passed","Fri Aug 07 09:21:02 GMT 2026","What We Do Page Validation","what-we-do/whatWeDo.spec.js","",""
