"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2213","[10/20] Validate redirect: /news/uae-adghw-apr-2025","Desktop Chromium","Wed Jun 03 10:34:06 GMT 2026","passed","Wed Jun 03 10:34:09 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1893","smoke: main content sections are visible","Desktop Chromium","Wed Jun 03 10:33:48 GMT 2026","passed","Wed Jun 03 10:33:50 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","2370","[5/20] Validate redirect: /fukuoka","Desktop Chromium","Wed Jun 03 10:33:55 GMT 2026","passed","Wed Jun 03 10:33:57 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","4890","[17/20] Validate redirect: /virumap-slides","Desktop Chromium","Wed Jun 03 10:34:24 GMT 2026","passed","Wed Jun 03 10:34:29 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2407","[1/20] Validate redirect: /null","Desktop Chromium","Wed Jun 03 10:33:45 GMT 2026","passed","Wed Jun 03 10:33:48 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2397","[2/20] Validate redirect: /team","Desktop Chromium","Wed Jun 03 10:33:48 GMT 2026","passed","Wed Jun 03 10:33:50 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2228","[9/20] Validate redirect: /dubai-jp","Desktop Chromium","Wed Jun 03 10:34:04 GMT 2026","passed","Wed Jun 03 10:34:06 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2068","[11/20] Validate redirect: /paper","Desktop Chromium","Wed Jun 03 10:34:09 GMT 2026","passed","Wed Jun 03 10:34:11 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2949","[20/20] Validate redirect: /apply","Desktop Chromium","Wed Jun 03 10:34:37 GMT 2026","passed","Wed Jun 03 10:34:40 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2482","smoke: homepage loads with correct title for Virufy","Desktop Chromium","Wed Jun 03 10:33:45 GMT 2026","passed","Wed Jun 03 10:33:48 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","2278","[4/20] Validate redirect: /opportunities","Desktop Chromium","Wed Jun 03 10:33:52 GMT 2026","passed","Wed Jun 03 10:33:55 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","2355","[7/20] Validate redirect: /halfmydaf","Desktop Chromium","Wed Jun 03 10:33:59 GMT 2026","passed","Wed Jun 03 10:34:02 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","5802","[18/20] Validate redirect: /virumap-slides-jp","Desktop Chromium","Wed Jun 03 10:34:29 GMT 2026","passed","Wed Jun 03 10:34:34 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","1722","smoke: footer section is present","Desktop Chromium","Wed Jun 03 10:34:04 GMT 2026","passed","Wed Jun 03 10:34:06 GMT 2026","Homepage Smoke Tests","smoke/homepage-minimal.spec.js","",""
"","2056","[14/20] Validate redirect: /uae-adghw-apr-2025","Desktop Chromium","Wed Jun 03 10:34:15 GMT 2026","passed","Wed Jun 03 10:34:17 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","3040","[19/20] Validate redirect: /join-jp","Desktop Chromium","Wed Jun 03 10:34:34 GMT 2026","passed","Wed Jun 03 10:34:37 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","3154","[15/20] Validate redirect: /virumap-msg","Desktop Chromium","Wed Jun 03 10:34:17 GMT 2026","passed","Wed Jun 03 10:34:20 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
"","3553","[16/20] Validate redirect: /virumap-msg-jp","Desktop Chromium","Wed Jun 03 10:34:20 GMT 2026","passed","Wed Jun 03 10:34:24 GMT 2026","UI Redirect and Page Validation Suite","redirects/uiRedirects.spec.js","",""
